"idcliente","codcliente","codnap","time"
1,8389,8,"2018-08-28 19:16:46"
2,8705,3,"2018-08-28 19:16:57"
3,9705,15,"2018-08-28 19:17:13"
4,5021,2,"2018-08-28 19:18:09"
5,5021,2,"2018-08-28 19:18:14"
6,6244,5,"2018-08-28 19:18:27"
7,2500,18,"2018-08-28 19:18:37"
8,5356,4,"2018-08-28 19:18:54"
9,5356,4,"2018-08-28 19:18:54"
10,242,11,"2018-08-28 19:19:06"
11,3999,2,"2018-08-28 19:19:14"
12,11039,3,"2018-08-28 19:19:34"
13,7330,29,"2018-08-28 19:19:51"
14,6151,24,"2018-08-28 19:20:01"
15,7089,20,"2018-08-28 19:20:15"
16,2842,29,"2018-08-28 19:20:23"
17,6894,5,"2018-08-28 19:20:57"
18,5343,5,"2018-08-28 19:21:06"
19,12698,29,"2018-08-28 19:21:19"
20,4601,30,"2018-08-28 19:21:27"
21,4800,1,"2018-08-28 19:22:55"
